state_abbr,latitude,longitude,enrollment
AL,34.260200,-86.206200,849
AL,34.261772,-86.204911,1244
AL,34.273557,-86.220154,843
AL,34.252700,-86.221806,911
AL,34.289945,-86.193056,566
AL,34.253721,-86.221928,990
AL,34.261640,-86.203819,507
AL,34.533750,-86.254153,376
AL,34.362734,-86.141422,659
AL,34.176234,-86.321259,521
AL,34.178658,-86.319462,727
AL,34.344469,-86.442110,286
AL,34.533750,-86.254153,372
AL,34.377151,-86.422446,278
AL,34.176774,-86.322507,613
AL,34.376400,-86.421900,496
AL,34.533750,-86.254153,546
AL,34.177536,-86.320895,512
AL,34.362734,-86.141422,729
AL,34.305770,-86.286958,71
AL,34.533750,-86.254153,308
AL,33.340933,-86.844719,769
AL,33.412804,-86.658134,438
AL,33.343638,-86.837968,2919
AL,33.395613,-86.732172,1058
AL,33.337500,-86.878400,534
AL,33.330923,-86.854796,1192
AL,33.392372,-86.728872,1472
AL,33.363900,-86.867400,735
AL,33.409421,-86.853331,658
AL,33.395700,-86.808800,501
AL,33.387973,-86.831132,508
AL,33.388212,-86.833615,860
AL,33.408949,-86.767165,577
AL,33.426608,-86.824614,328
AL,33.359689,-86.812927,562
AL,33.344122,-86.889190,521
AL,34.705723,-86.713681,567
AL,34.740800,-86.742700,1054
AL,34.719200,-86.742500,2048
AL,34.697571,-86.750513,603
AL,34.709961,-86.749524,1097
AL,34.721006,-86.783299,869
AL,34.751252,-86.733352,725
AL,34.733597,-86.779206,1103
AL,34.734375,-86.766235,701
AL,34.701186,-86.772013,965
AL,34.705886,-86.791802,2159
AL,34.721159,-86.750925,252
AL,34.686038,-86.747416,903
AL,33.545316,-86.548466,678
AL,33.549360,-86.536894,452
AL,33.547657,-86.574577,624
AL,33.545099,-86.560964,517
AL,34.213512,-86.161369,583
AL,34.211800,-86.163900,721
AL,34.204830,-86.175464,429
AL,34.212254,-86.157931,361
AL,34.206464,-86.178058,513
AL,33.655829,-86.593651,1163
AL,33.649323,-86.567607,1338
AL,33.665684,-86.590765,1571
AL,33.599544,-86.623626,391
AL,33.629258,-86.603955,542
AL,32.945244,-85.948623,430
AL,32.937700,-85.950800,852
AL,32.931152,-85.930251,704
AL,32.955175,-85.949183,436
AL,32.929406,-85.972466,414
AL,31.315600,-86.470998,471
AL,31.314977,-86.470935,270
AL,31.284600,-86.502500,1082
AL,33.660981,-85.820055,498
AL,33.632142,-85.775835,357
AL,33.665596,-85.858966,339
AL,33.708165,-85.822863,357
AL,33.661747,-85.841868,270
AL,34.329302,-86.493786,599
AL,34.334953,-86.496692,698
AL,34.312397,-86.510530,563
AL,34.329247,-86.488570,735
AL,34.793400,-86.996700,641
AL,34.809260,-86.973460,474
AL,34.812486,-86.949822,1278
AL,34.803346,-86.949838,935
AL,34.804388,-86.993474,332
AL,34.795787,-86.967922,409
AL,34.781914,-86.962923,380
AL,34.800179,-86.964919,606
AL,34.809200,-86.949816,350
AL,33.996000,-86.110900,453
AL,33.995189,-86.114284,342
AL,33.998734,-86.126219,665
AL,30.831300,-88.065367,789
AL,30.810124,-88.078798,1034
AL,30.796015,-88.100153,1134
AL,30.862549,-88.127677,557
AL,30.761258,-88.082215,331
AL,30.757103,-88.078474,241
AL,30.757103,-88.078474,143
AL,30.757103,-88.078474,1663
AL,30.763732,-88.075055,301
AL,30.846796,-88.057000,729
AL,30.846601,-88.067242,805
AL,33.216548,-86.838466,901
AL,33.222102,-86.845962,2060
AL,33.220563,-86.833045,1444
AL,33.176420,-86.808574,953
AL,33.225792,-86.864943,958
AL,33.309908,-86.789469,750
AL,33.275334,-86.786710,783
AL,33.306620,-86.808097,835
AL,33.312895,-86.821210,1076
AL,32.338392,-86.028178,888
AL,32.285484,-86.103225,652
AL,32.355003,-86.102682,833
AL,32.355003,-86.102682,449
AL,30.672421,-88.138607,513
AL,30.672421,-88.138607,322
AL,32.586288,-88.189067,407
AL,32.601648,-88.186266,309
AL,33.553991,-86.872386,317
AL,33.481154,-86.881928,219
AL,30.269060,-87.680180,1230
AL,30.269072,-87.679015,591
AL,30.269146,-87.675805,927
AL,32.341405,-86.223619,358
AL,32.341405,-86.223619,394
AL,33.537343,-86.763719,411
AL,33.564945,-86.726303,400
AL,32.352192,-86.328259,599
AL,32.607571,-87.335131,375
AL,32.464685,-86.397572,619
AL,32.603878,-85.446081,2227
AL,32.597519,-85.463326,1491
AL,32.622053,-85.485019,439
AL,32.600491,-85.464089,383
AL,32.617921,-85.494187,720
AL,32.589930,-85.472148,388
AL,32.585670,-85.469055,492
AL,32.564040,-85.456658,523
AL,32.640269,-85.506614,396
AL,32.619649,-85.513374,426
AL,32.633511,-85.478330,464
AL,32.598241,-85.476613,733
AL,32.623718,-85.518203,458
AL,32.659005,-85.509834,348
AL,33.470676,-86.829899,345
AL,33.397344,-86.956911,161
AL,32.663571,-86.700747,586
AL,32.619027,-86.481999,626
AL,32.454334,-86.455371,546
AL,32.500660,-86.471227,1844
AL,32.484588,-86.471298,928
AL,32.454416,-86.451558,518
AL,32.463142,-86.468757,544
AL,32.590090,-86.463052,949
AL,32.452200,-86.422200,1035
AL,32.433931,-86.659977,255
AL,32.457316,-86.466210,408
AL,32.700293,-86.474055,422
AL,32.462807,-86.474304,227
AL,30.617300,-87.870100,861
AL,30.540413,-87.706485,1418
AL,30.592614,-87.902029,414
AL,30.419952,-87.600250,735
AL,30.566880,-87.624564,375
AL,30.495443,-87.881755,775
AL,30.407235,-87.688472,823
AL,31.005210,-87.622619,572
AL,30.619400,-87.686300,325
AL,30.543131,-87.754024,497
AL,30.674955,-87.904953,726
AL,30.742279,-87.790164,203
AL,30.489358,-87.694881,615
AL,30.316295,-87.728368,155
AL,30.498068,-87.883600,1536
AL,30.582716,-87.727747,768
AL,30.677872,-87.847824,682
AL,30.412994,-87.584406,1034
AL,30.419800,-87.743600,944
AL,30.473684,-87.856822,804
AL,30.891383,-87.773545,814
AL,30.612386,-87.904200,671
AL,30.526382,-87.876402,913
AL,30.530500,-87.901665,972
AL,30.409549,-87.690853,1022
AL,30.385694,-87.694176,1023
AL,30.614180,-87.758564,497
AL,30.865438,-87.749833,449
AL,30.552150,-87.696915,1081
AL,30.638800,-87.864100,1639
AL,30.790101,-87.848734,228
AL,30.381582,-87.689517,1520
AL,30.893684,-87.794427,940
AL,30.887444,-87.795089,432
AL,30.715140,-87.853961,649
AL,30.614176,-87.870065,947
AL,30.688684,-87.854020,1115
AL,30.584455,-87.899726,298
AL,30.419952,-87.600250,276
AL,30.603160,-87.829107,1069
AL,30.678458,-87.804980,620
AL,30.708212,-87.782008,528
AL,31.868278,-85.446130,297
AL,31.881958,-85.461165,134
AL,31.780400,-85.554560,227
AL,33.334612,-86.933262,290
AL,33.410011,-86.941520,364
AL,33.368618,-86.985203,616
AL,33.370885,-86.999217,760
AL,33.378515,-86.958225,474
AL,33.379003,-86.980419,277
AL,33.412600,-86.960300,231
AL,32.947825,-87.142339,428
AL,32.943214,-87.115079,440
AL,32.942416,-87.162241,603
AL,32.901200,-86.906100,225
AL,33.114600,-87.125400,288
AL,33.112996,-87.128336,368
AL,33.112623,-87.130606,387
AL,33.209851,-87.137697,324
AL,33.517043,-86.771382,339
AL,33.559819,-86.728087,383
AL,33.485536,-86.899272,296
AL,33.484512,-86.885970,386
AL,33.580565,-86.690118,574
AL,33.495305,-86.812803,232
AL,33.536846,-86.731935,343
AL,33.470380,-86.897100,309
AL,33.493127,-86.851929,353
AL,33.556521,-86.805707,580
AL,33.594956,-86.692689,384
AL,33.611201,-86.683271,1094
AL,33.563900,-86.780651,312
