state,state_abbr,nces_school_id,school_name,district_name,county,latitude,longitude,enrollment,start_time,start_time_raw,school_level,inclusion_status
Washington,WA,1836,CAM Academy,Battle Ground School District,Clark,45.790959,-122.545824,512,07:05,,Other/Mixed,included
Washington,WA,3791,Fairview Middle School,Central Kitsap School District,Kitsap,47.637073,-122.651369,620,07:20,,Middle,included
Washington,WA,3123,Edmonds Woodway High School,Edmonds School District,Snohomish,47.806549,-122.336707,1615,07:20,,High,included
Washington,WA,3464,Meadowdale High School,Edmonds School District,Snohomish,47.845562,-122.313398,1504,07:20,,High,included
Washington,WA,3303,Mountlake Terrace High School,Edmonds School District,Snohomish,47.801735,-122.288517,1461,07:20,,High,included
Washington,WA,3755,Lynnwood High School,Edmonds School District,Snohomish,47.832940,-122.239419,1344,07:20,,High,included
Washington,WA,4063,GATES Secondary School,Franklin Pierce School District,Pierce,47.139723,-122.367060,112,07:20,,Other/Mixed,included
Washington,WA,4433,Kamiak High School,Mukilteo School District,Snohomish,47.900713,-122.301956,2388,07:20,,High,included
Washington,WA,3688,Mariner High School,Mukilteo School District,Snohomish,47.888325,-122.236890,2110,07:20,,High,included
Washington,WA,5591,Renton Technical High School,Renton Technical College,King,47.491347,-122.176735,69,07:20,,High,included
Washington,WA,3250,Bethel Middle School,Bethel School District,Pierce,47.055049,-122.379289,661,07:22,,Middle,included
Washington,WA,5206,Liberty Middle School,Bethel School District,Pierce,47.069238,-122.329367,857,07:22,,Middle,included
Washington,WA,4249,Ridgetop Middle School,Central Kitsap School District,Kitsap,47.658477,-122.668272,787,07:25,,Middle,included
Washington,WA,3766,Decatur High School,Federal Way School District,King,47.316909,-122.367855,1358,07:25,,High,included
Washington,WA,1950,Employment Transition Program,Federal Way School District,King,47.303043,-122.360119,62,07:25,,Other/Mixed,included
Washington,WA,5473,Technology Access Foundation Academy at Saghalie,Federal Way School District,King,47.297574,-122.354996,532,07:25,,Other/Mixed,included
Washington,WA,4570,Todd Beamer High School,Federal Way School District,King,47.277469,-122.314377,1417,07:25,,High,included
Washington,WA,2417,Federal Way High School,Federal Way School District,King,47.327155,-122.314269,1669,07:25,,High,included
Washington,WA,3584,Thomas Jefferson High School,Federal Way School District,King,47.344145,-122.277611,1813,07:25,,High,included
Washington,WA,3648,Washington High School,Franklin Pierce School District,Pierce,47.144504,-122.456295,1016,07:25,,High,included
Washington,WA,3401,Perry G Keithley Middle School,Franklin Pierce School District,Pierce,47.144088,-122.452372,805,07:25,,Middle,included
Washington,WA,5213,Marysville Pilchuck High School,Marysville School District,Snohomish,48.095983,-122.155677,1209,07:25,,High,included
Washington,WA,5478,Marysville Getchell High School,Marysville School District,Snohomish,48.074871,-122.120274,1391,07:25,,High,included
Washington,WA,5654,Envision Career Academy,North Thurston Public Schools,Thurston,47.052514,-122.824206,146,07:25,,Other/Mixed,included
Washington,WA,3751,Spanaway Middle School,Bethel School District,Pierce,47.115449,-122.427886,767,07:27,,Middle,included
Washington,WA,4186,Cedarcrest Middle School,Bethel School District,Pierce,47.084003,-122.414158,765,07:27,,Middle,included
Washington,WA,4578,Cougar Mountain Middle School,Bethel School District,Pierce,47.019382,-122.362378,606,07:27,,Middle,included
Washington,WA,5950,Bates Technical High School,Bates Technical College,Pierce,47.252291,-122.446599,343,07:30,,High,included
Washington,WA,1737,Renaissance Alternative High School,Bremerton School District,Kitsap,47.564046,-122.661339,81,07:30,,High,included
Washington,WA,3109,Bremerton High School,Bremerton School District,Kitsap,47.573347,-122.638571,1271,07:30,,High,included
Washington,WA,3253,Evergreen Middle School,Everett School District,Snohomish,47.926973,-122.227814,893,07:30,,Middle,included
Washington,WA,3407,Cascade High School,Everett School District,Snohomish,47.923630,-122.220897,1662,07:30,,High,included
Washington,WA,4438,Henry M. Jackson High School,Everett School District,Snohomish,47.873670,-122.210617,2166,07:30,,High,included
Washington,WA,2126,Everett High School,Everett School District,Snohomish,47.985245,-122.208883,1654,07:30,,High,included
Washington,WA,2580,Granite Falls High School,Granite Falls School District,Snohomish,48.087577,-121.986561,623,07:30,,High,included
Washington,WA,2743,Harrington Elementary School,Harrington School District,Lincoln,47.478922,-118.251154,81,07:30,,Elementary,included
Washington,WA,2797,Kent-Meridian High School,Kent School District,King,47.373445,-122.206590,1639,07:30,,High,included
Washington,WA,5676,Kent Laboratory Academy,Kent School District,King,47.415397,-122.198475,292,07:30,,Other/Mixed,included
Washington,WA,3640,Kentridge High School,Kent School District,King,47.416671,-122.173962,2195,07:30,,High,included
Washington,WA,4128,Kentwood High School,Kent School District,King,47.370024,-122.119308,1999,07:30,,High,included
Washington,WA,4492,Kentlake High School,Kent School District,King,47.331282,-122.057262,1563,07:30,,High,included
Washington,WA,3893,Lakewood Middle School,Lakewood School District,Snohomish,48.148799,-122.208742,672,07:30,,Middle,included
Washington,WA,3821,La Venture Middle School,Mount Vernon School District,Skagit,48.430969,-122.312183,665,07:30,,Middle,included
Washington,WA,4511,Mount Baker Middle School,Mount Vernon School District,Skagit,48.412853,-122.312113,574,07:30,,Middle,included
Washington,WA,4247,ACES High School,Mukilteo School District,Snohomish,47.910953,-122.243584,130,07:30,,High,included
Washington,WA,3010,North Thurston High School,North Thurston Public Schools,Thurston,47.051940,-122.832114,1388,07:30,,High,included
Washington,WA,3710,Timberline High School,North Thurston Public Schools,Thurston,47.007415,-122.799376,1437,07:30,,High,included
Washington,WA,4427,River Ridge High School,North Thurston Public Schools,Thurston,47.056186,-122.751896,1566,07:30,,High,included
Washington,WA,3067,Rochester Middle School,Rochester School District,Thurston,46.820863,-123.091521,535,07:30,,Middle,included
Washington,WA,5128,Glacier Peak High School,Snohomish School District,Snohomish,47.867449,-122.133595,1651,07:30,,High,included
Washington,WA,4145,Valley View Middle School,Snohomish School District,Snohomish,47.867949,-122.101954,643,07:30,,Middle,included
Washington,WA,2428,Snohomish High School,Snohomish School District,Snohomish,47.918143,-122.099859,1513,07:30,,High,included
Washington,WA,4395,Centennial Middle School,Snohomish School District,Snohomish,47.968745,-122.067343,734,07:30,,Middle,included
Washington,WA,2124,Snoqualmie Middle School,Snoqualmie Valley School District,King,47.518280,-121.814337,497,07:30,,Middle,included
Washington,WA,4191,Spokane Area Professional-Technical Skills Center,Spokane School District,Spokane,47.696458,-117.368687,39,07:30,,Other/Mixed,included
Washington,WA,3179,Curtis Junior High,University Place School District,Pierce,47.223338,-122.553570,911,07:30,,Middle,included
Washington,WA,3600,Curtis Senior High,University Place School District,Pierce,47.221454,-122.551162,1349,07:30,,High,included
Washington,WA,2272,South Kitsap High School,South Kitsap School District,Kitsap,47.537687,-122.624294,2459,07:34,,High,included
Washington,WA,4113,Granite Falls Middle School,Granite Falls School District,Snohomish,48.086843,-121.962927,448,07:35,,Middle,included
Washington,WA,4204,Lakewood High School,Lakewood School District,Snohomish,48.150843,-122.214330,860,07:35,,High,included
Washington,WA,3524,Cedarcrest High School,Riverview School District,King,47.735632,-121.952477,901,07:35,,High,included
Washington,WA,4131,Steilacoom High,Steilacoom Hist. School District,Pierce,47.179293,-122.575767,993,07:35,,High,included
Washington,WA,3141,Wapato High School,Wapato School District,Yakima,46.438254,-120.421413,856,07:35,,High,included
Washington,WA,3456,Lakes High School,Clover Park School District,Pierce,47.162834,-122.575495,1165,07:37,,High,included
Washington,WA,2425,Clover Park High School,Clover Park School District,Pierce,47.157616,-122.519135,1181,07:37,,High,included
Washington,WA,5027,General William H. Harrison Preparatory School,Clover Park School District,Pierce,47.175088,-122.506687,740,07:37,,Other/Mixed,included
Washington,WA,4230,Eatonville Middle School,Eatonville School District,Pierce,46.868488,-122.263164,426,07:37,,Middle,included
Washington,WA,2633,Yelm High School 12,Yelm School District,Thurston,46.950636,-122.624354,1716,07:37,,High,included
Washington,WA,4333,Lakeside High School,Nine Mile Falls School District,Spokane,47.809082,-117.558574,494,07:38,,High,included
Washington,WA,5282,Talley High School,Renton School District,King,47.485369,-122.236725,253,07:38,,High,included
Washington,WA,2475,Renton Senior High School,Renton School District,King,47.482105,-122.211527,1209,07:38,,High,included
